,usage_year,usage_month,geoid10,cust_loc_irr_area_sf,usage_et_amount,usage_ccf,cust_id_from_utility,cust_loc_hhsize,population,pop_LAR,efficiency_target_ccf,usage_date
858,2011,8,60590320032010,434834.0,5.26,1475,66,275.0,220,0.223143551314,2010.11201098,2011-08-01
859,2011,8,60590320032011,142973.0,5.26,723,33,138.0,101,0.312133168316,724.15277098,2011-08-01
860,2011,8,60590320032012,269033.0,5.26,1019,45,184.0,152,0.191055236763,1278.70317098,2011-08-01
861,2011,8,60590320032013,225686.0,5.26,920,37,157.0,125,0.227932068046,1067.14086745,2011-08-01
862,2011,8,60590320032015,564235.0,5.22,1804,74,315.0,270,0.154150679827,2559.12603529,2011-08-01
863,2011,8,60590320032018,259036.0,5.22,1144,45,186.0,163,0.131996472906,1261.00410353,2011-08-01
864,2011,8,60590320032019,130799.0,5.22,638,31,131.0,93,0.342597830048,660.327578824,2011-08-01
865,2011,8,60590320033002,602223.0,5.26,2402,120,514.0,464,0.102338713229,3135.32473176,2011-08-01
866,2011,8,60590320033003,140407.0,5.26,593,30,130.0,123,0.0553500950832,763.684076078,2011-08-01
867,2011,8,60590320033004,200681.0,5.22,845,40,166.0,143,0.149143158097,1013.81105647,2011-08-01
868,2011,8,60590320033005,86966.0,5.25,409,19,81.0,70,0.145953912623,458.792764706,2011-08-01
869,2011,8,60590320033006,288639.0,5.22,1332,58,249.0,203,0.204246917423,1452.25783765,2011-08-01
870,2011,8,60590320033007,190430.0,5.22,768,40,166.0,156,0.062131781107,1006.81404706,2011-08-01
871,2011,8,60590320033008,161196.0,5.22,632,36,151.0,144,0.0474665372389,878.609138824,2011-08-01
872,2011,8,60590320033009,216488.0,5.22,947,48,193.0,172,0.115195712091,1132.79000471,2011-08-01
873,2011,8,60590320033010,89899.0,5.19,330,19,77.0,76,0.0130720815674,478.697598824,2011-08-01
874,2011,8,60590320121013,95204.0,5.19,479,23,92.0,85,0.0791373205587,516.90584,2011-08-01
875,2011,8,60590320121016,226687.0,5.21,1209,58,241.0,201,0.181492025432,1230.74186627,2011-08-01
876,2011,8,60590320121017,174528.0,5.19,786,38,158.0,138,0.13534134787,908.278644706,2011-08-01
877,2011,8,60590320121018,216482.0,5.19,938,42,175.0,142,0.208958916322,1062.26301412,2011-08-01
878,2011,8,60590320121019,146430.0,5.22,632,27,115.0,87,0.279024009709,701.488164706,2011-08-01
879,2011,8,60590320121020,151288.0,5.22,821,35,146.0,119,0.204483128597,788.98224,2011-08-01
880,2011,8,60590320121021,207173.0,5.22,856,36,151.0,142,0.0614527792137,1034.19733412,2011-08-01
881,2011,8,60590320121026,102580.0,5.19,538,25,107.0,96,0.108480642994,566.691505882,2011-08-01
