,geoid10,usage_date,hhsize,irr_area_sf,usage_ccf,usage_et_amount
90,060590626392007,2013-02-01,20,3707.0,40.0,291.0
91,060590626392007,2013-05-01,24,4198.0,44.0,460.833333333
92,060590626392007,2011-01-01,20,3707.0,42.0,
93,060590626392007,2012-05-01,20,3707.0,47.0,497.0
94,060590423301003,2012-10-01,277,98329.0,838.0,448.567164179
95,060590626392007,2012-11-01,20,3707.0,55.0,366.0
96,060590423301003,2015-01-01,363,133347.0,757.0,221.552941176
97,060590423301003,2011-10-01,256,92122.0,792.0,438.580645161
98,060590626392007,2016-07-01,32,5246.0,71.0,517.0
99,060590423301003,2014-06-01,327,118703.0,994.0,533.898734177
100,060590626392007,2013-06-01,24,4198.0,61.0,522.0
101,060590423301003,2015-05-01,339,121532.0,846.0,490.146341463
102,060590423301003,2015-11-01,323,114297.0,769.0,378.692307692
103,060590423301003,2016-05-01,335,121840.0,644.0,432.320512821
104,060590423301003,2013-04-01,293,103282.0,743.0,371.605633803
105,060590423301003,2011-11-01,256,92122.0,769.0,336.064516129
106,060590423301003,2013-07-01,315,115506.0,1293.0,576.644736842
107,060590423301003,2015-12-01,319,112975.0,769.0,308.0
108,060590423301003,2015-04-01,343,123577.0,1027.0,524.373493976
109,060590423301003,2014-02-01,323,117315.0,846.0,294.551282051
110,060590423301003,2013-11-01,319,116410.0,1100.0,406.961038961
111,060590626392007,2015-09-01,36,6119.0,82.0,496.0
112,060590626392007,2016-06-01,32,5246.0,68.0,325.0
113,060590423301003,2011-05-01,247,90342.0,642.0,
114,060590626392007,2014-10-01,32,5536.0,78.0,425.0
115,060590423301003,2014-11-01,335,120786.0,897.0,305.432098765
116,060590626392007,2011-06-01,20,3707.0,42.0,
117,060590626392007,2015-02-01,36,6119.0,75.0,353.0
118,060590626392007,2014-01-01,24,4198.0,67.0,355.0
119,060590626392007,2013-08-01,24,4198.0,51.0,469.0
120,060590626392007,2011-08-01,20,3707.0,46.0,470.0
121,060590423301003,2015-07-01,331,119080.0,993.0,587.7875
122,060590626392007,2016-03-01,32,5246.0,50.0,250.0
123,060590626392007,2013-09-01,24,4198.0,69.0,617.0
124,060590423301003,2011-04-01,247,90342.0,715.0,
125,060590423301003,2012-01-01,256,92122.0,734.0,295.0
126,060590423301003,2016-04-01,339,122745.0,579.0,352.012658228
127,060590423301003,2011-03-01,243,89526.0,563.0,
128,060590626392007,2014-08-01,28,4663.0,89.0,586.0
129,060590423301003,2014-07-01,327,118703.0,1223.0,654.670886076
130,060590626392007,2011-07-01,20,3707.0,57.0,0.0
131,060590423301003,2012-08-01,277,98329.0,990.0,601.134328358
132,060590423301003,2012-06-01,265,95591.0,867.0,604.047619048
133,060590626392007,2013-12-01,24,4198.0,62.0,251.0
134,060590423301003,2012-09-01,277,98329.0,899.0,582.611940299
